BioProject,BioSample,Organism,sex,Submitter_Id,Ecotype,Site,Site_Type,Year,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA431202,SAMN08465520,Athene_cunicularia,male,BO15-099,B_urban_2014,B,urban,2014,GCA_003259725.1,Athene_cunicularia,81093328,0,506447,0.00624524,23956664,15.0607,-0.0119296,0.288781,-0.0883635,0.0150638,-0.00422967,0.0255192,-0.173125,-0.265918,0.194944,0.108569,cluster_3,exclude,1
PRJNA431202,SAMN08465477,Athene_cunicularia,male,BO15-136,A_rural_2014,A,rural,2014,GCA_003259725.1,Athene_cunicularia,81093328,0,507119,0.00625352,23959351,13.1774,-0.00516489,0.0324984,0.0801032,-0.00861982,-0.0198449,-0.00102018,-0.00529558,0.0112399,-0.0671916,0.0119013,cluster_2,ingroup,NA
PRJNA431202,SAMN08465592,Athene_cunicularia,male,BO15-143,C1_rural_2013,C1,rural,2013,GCA_003259725.1,Athene_cunicularia,81093328,0,507330,0.00625613,23956709,11.7832,-0.00472668,0.029149,0.0755378,0.00839148,-0.0305494,4.46341e-4,0.00875437,0.0105636,-0.0546301,0.00787918,cluster_2,ingroup,NA
PRJNA431202,SAMN08465480,Athene_cunicularia,female,BO15-139,A_rural_2014,A,rural,2014,GCA_003259725.1,Athene_cunicularia,81093328,0,516351,0.00636737,23956711,16.1066,-0.00753014,-0.0860512,-0.0262507,-0.161515,0.0500111,0.0278449,-0.0993899,0.0388239,0.0637113,-0.0272734,cluster_5,ingroup,NA
PRJNA431202,SAMN08465544,Athene_cunicularia,male,BO15-076,C3_urban_2012,C3,urban,2012,GCA_003259725.1,Athene_cunicularia,81093328,0,517308,0.00637917,23957351,13.5036,-0.00624129,0.0288041,0.0747195,0.0331098,-0.0940843,0.00813544,0.0118477,0.0266704,5.14233e-4,-0.0304998,cluster_2,ingroup,NA
PRJNA431202,SAMN08465497,Athene_cunicularia,male,BO15-118,A_urban_2014,A,urban,2014,GCA_003259725.1,Athene_cunicularia,81093328,0,521983,0.00643682,23960041,14.7148,-0.00821126,0.00885282,0.133715,-0.199616,0.0943056,0.440992,0.358349,-0.180964,0.107657,-0.0067174,cluster_2,ingroup,4
PRJNA431202,SAMN08465474,Athene_cunicularia,male,BO15-133,A_rural_2014,A,rural,2014,GCA_003259725.1,Athene_cunicularia,81093328,0,525661,0.00648217,23960449,16.147,-0.00649307,0.0295422,0.0686371,-0.00528526,-0.0138144,0.0102999,-0.0114778,0.00449736,-0.0809662,-0.00207854,cluster_2,ingroup,NA
PRJNA431202,SAMN08465575,Athene_cunicularia,female,BO17-005,B_rural_2016,B,rural,2016,GCA_003259725.1,Athene_cunicularia,81093328,0,528437,0.00651641,23960133,15.6165,-0.00758684,-0.0665115,-0.0710426,-0.0122015,-0.00970889,0.0121884,-0.00870329,-0.0546748,-0.0950642,-0.00835108,cluster_5,exclude,13
PRJNA431202,SAMN08465498,Athene_cunicularia,female,BO15-119,A_urban_2014,A,urban,2014,GCA_003259725.1,Athene_cunicularia,81093328,0,530457,0.00654131,23960119,14.7158,-0.0069621,-0.0751709,0.00621913,-0.166386,0.0814386,0.38982,0.324134,-0.191318,0.0966408,-0.033552,cluster_5,exclude,4
PRJNA431202,SAMN08465516,Athene_cunicularia,male,BO15-098,B_urban_2014,B,urban,2014,GCA_003259725.1,Athene_cunicularia,81093328,0,533056,0.00657336,23957269,12.7544,-0.0121049,0.236503,-0.0530524,0.0147652,-0.0184525,0.0124566,-0.0809383,-0.106703,-0.0278063,-0.0986359,cluster_3,ingroup,NA
PRJNA431202,SAMN08465590,Athene_cunicularia,female,BO15-152,C1_rural_2012,C1,rural,2012,GCA_003259725.1,Athene_cunicularia,81093328,0,533063,0.00657345,23960106,15.7881,-0.00539672,-0.0691049,-0.0573979,-0.00168963,-0.0194474,0.00409123,-0.00115715,-0.0164982,-0.0467904,-0.0232133,cluster_5,ingroup,NA
PRJNA431202,SAMN08465508,Athene_cunicularia,male,BO15-084,B_urban_2013,B,urban,2013,GCA_003259725.1,Athene_cunicularia,81093328,0,536650,0.00661768,23956780,12.6994,-0.00918476,0.193476,0.00288733,0.0131214,-0.0402897,0.00445886,-0.0887205,-0.121235,-0.185857,-0.293272,cluster_3,exclude,2
