BioProject,BioSample,Organism,sex,Country,Continent,Submitter_Id,Population,Sample,Locality,Organism.x,Organism.y,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJEB7359,SAMEA3167989,Ficedula_hypoleuca,female,Czech Republic,Europe,CZP_522953,CZP,522953,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1528806,0.0128807,34369376,15.9921,0.0861136,0.0281774,0.0371077,-0.00791069,-0.0527749,0.0194657,-1.46969e-6,0.00301706,1.87374e-4,0.0030936,cluster_5,outgroup,NA
PRJEB7359,SAMEA3172326,Ficedula_hypoleuca,female,Sweden,Europe,OP_CK53848,OP,CK53848,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1530356,0.0128938,34371077,14.4083,0.0874202,0.0283428,0.0379736,-0.00556409,-0.0519403,0.0201937,-8.98411e-4,0.00151258,-0.00199191,-7.59918e-4,cluster_5,outgroup,NA
PRJEB7359,SAMEA3172322,Ficedula_hypoleuca,male,Sweden,Europe,OP_CK53198,OP,CK53198,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1550719,0.0130654,34370249,20.0626,0.0866298,0.0284263,0.0370812,-0.00716197,-0.0482779,0.00983544,-3.40162e-4,-9.02097e-4,-0.00174014,-0.00698497,cluster_5,outgroup,NA
PRJEB7359,SAMEA3167982,Ficedula_hypoleuca,female,Czech Republic,Europe,CZP_312466,CZP,312466,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1558456,0.0131305,34366736,12.619,0.0876391,0.0283993,0.0380835,-9.28349e-4,-0.0750786,0.025188,-0.00105754,0.00273562,0.00168164,0.0172208,cluster_5,outgroup,8
PRJEB7359,SAMEA3167984,Ficedula_hypoleuca,female,Czech Republic,Europe,CZP_312470,CZP,312470,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1567662,0.0132081,34369229,15.9709,0.0868799,0.0281894,0.0373141,-0.00305834,-0.0637918,0.0247099,-4.55638e-4,0.0034719,5.75472e-4,0.0183206,cluster_5,outgroup,NA
PRJEB7359,SAMEA3172321,Ficedula_hypoleuca,female,Sweden,Europe,OP_CJ23689,OP,CJ23689,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1570753,0.0132341,34369925,12.9479,0.0872987,0.0278757,0.0371749,-0.00625837,-0.0554571,0.0215546,-0.00115499,0.00156042,-0.00137452,0.00491562,cluster_5,outgroup,NA
PRJEB7359,SAMEA3174133,Ficedula_semitorquata,female,Bulgaria,Europe,FST_20,FST,20,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1571758,0.0132426,21318036,10.1525,-9.86109e-4,-0.202944,0.0521052,-0.0164197,8.20324e-4,0.00470588,-0.0117903,0.121832,-0.103195,0.363178,cluster_8,outgroup,NA
PRJEB7359,SAMEA2785543,Ficedula_hypoleuca,female,Sweden,Europe,SP_16,SP,16,Uppsala,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1595331,0.0134412,34368662,15.394,0.0871206,0.028242,0.0376156,-0.00503728,-0.0523366,0.0202567,-0.001692,1.67192e-4,-0.00161226,0.00578156,cluster_5,outgroup,NA
PRJEB7359,SAMEA3172332,Ficedula_hypoleuca,female,Sweden,Europe,OP_CL76147,OP,CL76147,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1613727,0.0135962,34369209,11.9119,0.086521,0.0280228,0.0364564,-0.00483203,-0.0491123,0.0184268,-0.00189448,0.00265158,8.95589e-4,0.00668225,cluster_5,outgroup,NA
PRJEB7359,SAMEA3174148,Ficedula_semitorquata,male,Bulgaria,Europe,FST_7,FST,7,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1632563,0.0137549,21315946,9.10838,-7.16011e-4,-0.210983,0.0541718,-0.0143943,-0.00764704,-0.0154374,0.532408,-0.401748,0.129923,0.0158366,cluster_8,outgroup,NA
PRJEB7359,SAMEA3167980,Ficedula_hypoleuca,male,Czech Republic,Europe,CZP_312350,CZP,312350,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1685237,0.0141987,34370111,11.6314,0.0864904,0.0284932,0.0370006,-0.00673121,-0.0595853,0.0153243,-0.00108946,-0.00281156,-0.001492,-0.00151379,cluster_5,outgroup,NA
PRJEB7359,SAMEA3167999,Ficedula_hypoleuca,female,Czech Republic,Europe,CZP_522965,CZP,522965,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1687671,0.0142192,34368829,10.1832,0.0871339,0.0282206,0.0374332,-0.00606519,-0.0649677,0.023576,8.01728e-4,0.00343555,0.00295502,0.0065861,cluster_5,outgroup,NA
PRJEB7359,SAMEA2785554,Ficedula_hypoleuca,female,Sweden,Europe,SP_SV6,SP,SV6,Uppsala,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1688219,0.0142238,34370128,12.466,0.0861354,0.0285425,0.03655,-0.00584216,-0.0604676,0.0220983,-6.83443e-4,0.00206363,0.00136202,0.00688373,cluster_5,outgroup,NA
