BioSample,refGenome,Organism,lat,long
SAMEA2661333,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661334,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661335,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661336,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661337,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661338,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661339,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661340,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661341,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661342,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661343,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661344,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661345,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661346,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661347,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661348,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661349,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661350,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661351,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661352,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661353,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661354,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661355,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661356,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661357,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661358,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661359,GCF_900246225.1,Astatotilapia_spp,NA,NA
